document	label
헐! 나 이벤트에 당첨 됐어.	0
내가 좋아하는 인플루언서가 이벤트를 하더라고. 그래서 그냥 신청 한번 해봤지.	0
"한 명 뽑는 거였는데, 그게 바로 내가 된 거야."	0
"당연히 마음에 드는 선물이니깐, 이벤트에 내가 신청 한번 해본 거지. 비싼 거야. 그래서 못 산 향수야."	0
응. 완전히 끝난 거야. 한 달 동안 주말에 쉬지도 못하고 일만 했거든.	0
"신나는 음악 듣는 것도 좋고, 어디 여행 가고 싶고 이 것 저 것 다 해보고 싶어."	0
친구들도 내 연락 기다리고 있을 텐데 내가 까먹고 있었네?	0
그래. 일단은 친구들부터 만나서 여행 계획에 대해서 얘기 좀 해봐야 되겠어.	0
아니. 이제부터 자랑 한번 해봐야지.	0
나 축하해줘. 기분 좋은 일이 생겼어.	0
나 이번에 10km 마라토너로 뛰었거든. 그런데 내 기록보다 훨씬 좋은 기록이 나온 거야.	0
"아니. 선수처럼 그렇게 기록이 좋진 않지만, 그 동안의 내가 노력한 결과에, 결과를 얻은 것 같애서 좋다는 거야."	0
대단히 많은 크룬 아니고.	0
당연히 같이 서로 의지하면서 운동하는 사람들 있어. 그 사람들 덕분에 여기까지 온 것 같애.	0
드디어 구매한 노트북이 도착했어.	0
알바비를 모아서 산 거기 때문에 좋은 건 못 샀어.	0
알았어. 걱정하지 마. 꼼꼼히 살펴보고 또 살펴 볼게.	0
"할 게 너무너무 많아. 영화도 봐야 되지, 그 동안 못 봤던 드라마나 예능 프로그램. 그리고 이걸로 프로젝트도 해야 돼."	0
"정말? 정말 그런 보험도 있었어? 당장에 가입해야지, 그럼."	0
나 드디어 프로젝트 끝냈어!	0
당연하지. 한 달 동안 주말도 반납해가면서 만든 프로젝트야. 완전히 끝냈다고.	0
그래. 신나는 음악 들으면서 맘껏 춤 추고 싶어.	0
벌써 다 약속 잡아 놨지. 내일 만나기로 했어.	0
그렇잖아도 내일 친구들이랑 만나서 여행 계획을 세울 거야. 좋은 생각이지?	0
나 드디어 프로젝트가 끝났어.	0
프로젝트에 최종 발표를 마쳤으니까 모든 게 완전히 끝난 거야. 마음이 너무나 홀가분해.	0
신나는 음악을 들으면서 춤이라도 추고 싶은 게 내 심정이야. 그만큼 기분이 좋아.	0
"프로젝트를 하느라고 한 달 동안 친구를 못 만났는데, 못 만났던 친구를 만나는 것도 좋을 거 같아."	0
시간이 된다면 여행을 가서 마음을 좀 힐링 시키고 오고 싶어.	0
드디어 구매한 노트북이 도착했어.	0
오자 마자 노트북 여기 저기를 살펴 봤는데 아무 문제가 없더라고. 성능도 정말 좋아.	0
노트북으로는 지금 구상하고 있는 만화를 만들 거야.	0
종종 밖에서 작업할 일도 생기니까 노트북 보험 가입을 생각해봐야겠어.	0
헐! 나 이벤트에 당첨 됐어.	0
내가 좋아하는 인플루언서가 진행하는 이벤트에 당첨 됐어. 너무 기뻐!	0
"비싼 향수를 선물로 받았다고 주변 사람들한테 이야기했더니, 다들 부러워했어."	0
"10km 마라톤 대회에 출전했는데, 이전의 내 기록을 훨씬 경신했어. 너무 기뻐!"	0
내가 달리는 운동을 너무 좋아해서 매번 열심히 연습해서 마라톤 대회에 출전했더니 좋은 성적을 낸 거 같아.	0
"달리는 동안에는 엄청 힘들고 지쳤는데, 결승선을 들어서는 순간 기분이 엄청 좋았어! 날아갈 거 같았어!"	0
함께 달리는 크루가 있어서 힘들고 지칠 때 서로 힘이 돼서 너무 좋아.	0
나 드디어 프로젝트 끝났어.	0
그럼. 한 달 간 주말도 반납하고 얼마나 열심히 했는데. 완전히 끝났다니까!	0
응. 신나는 음악 들으면서 막 춤 추고 싶어.	0
그렇잖아도 친구들이랑 벌써 약속했지. 내일 만나기로 했어.	0
"알았어. 뭐든지 다 하고 싶어. 내일 친구들이랑 만나서 여행 계획도 세우고, 신나는 음악 들으면서 춤도 막 출 거야."	0
헐. 나 이벤트에 당첨되었대.	0
내 좋아하는 인플루언서가 파격 이벤트를 하더라고. 그래서 그냥 한 번 신청해봤지.	0
한 명 뽑는데 내가 당첨이 됐대.	0
완전 맘에 들어. 진짜진짜 비싼 향수거든.	0
아니. 이제부터 해야지.	0
나 축하해줘. 정말 기분좋은 일이 있었어.	0
이번 마라톤 대회에 참가했는데 내가 생각했던 것보다 내 기록이 너무 잘 나왔어.	0
아니야. 선수처럼 잘 달리는게 아니라 그냥 내 기록보다 몇 분이나 더 빨리 도착한 거야.	0
드디어 구매한 노트북이 도착했어. 뜯어봐야지.	0
좋은 제품은 아니야. 알바비를 모아서 산 거기 때문에 저렴한 걸로 샀어.	0
알았어. 내가 다 알아서 할게. 걱정하지 마.	0
할 게 너무 많아. 영화도 봐야지. 그동안 못봤던 드라마하고 예능프로도 볼 거야. 그리고 중요한 건 프로젝트를 해야 돼.	0
오호. 좋은 정보인데? 그런 게 있으면 당장 가입해야지.	0
나 드디어 프로젝트가 끝났어.	0
최종 발표를 마쳤으니까 프로젝트가 완전히 끝난 거라고 보면 돼. 너무 홀가분해.	0
신나는 음악을 들으면서 춤을 추고 싶을 정도로 기분이 너무 좋아.	0
프로젝트를 진행하느라고 한 달 동안 친구를 못 만났는데 이번 기회에 친구를 만나는 것도 좋을 것 같아.	0
그동안 프로젝트를 하느라고 너무 바쁘고 힘들었으니까 이번 기회에 여행을 가서 힐링을 하고 오는 시간을 가져봐야겠어.	0
구매한 노트북이 엄청 늦게 와서 기다리고 있었는데 오늘 도착한거야. 너무 기뻐. 노트북은 200만원 정도 주고 샀어.	0
노트북이 도착하자마자 문제가 있는지 여기저기 살펴봤는데 다 괜찮았어. 엄청 좋아.	0
노트북으로 동화책 글쓰기 작업을 할거야. 너무 기대가 돼.	0
노트북을 밖에서 쓸 일도 생길테니까 보험 가입을 생각해봐야겠어.	0
달리는 동안은 너무 지치고 힘들었는데 결승선을 통과하는 순간 너무 기분이 좋았어. 날아갈 것 같았어.	0
함께 뛰는 크루가 있어서 힘들 때마다 격려해주니까 큰 힘이 돼.	0
인플루언서가 진행하는 이벤트에 당첨돼서 기분이 엄청 좋아.	0
당첨자를 한 명 뽑는 거였는데 내가 당첨된 거야. 엄청 운이 좋지?	0
당연히 자랑했지! 비싼 향수를 선물로 받았다고 자랑했더니 다들 부러워했어.	0
당연하지. 비싼 향수를 선물로 받았다고 사람들한테 이야기했더니 다들 부러워했어.	0
